date,sku,quantity_sold
2024-01-01,PROD-A,45
2024-01-02,PROD-A,52
2024-01-03,PROD-A,38
2024-01-04,PROD-A,61
2024-01-05,PROD-A,49
2024-01-06,PROD-A,55
2024-01-07,PROD-A,72
2024-01-08,PROD-A,43
2024-01-09,PROD-A,58
2024-01-10,PROD-A,47
2024-01-11,PROD-A,51
2024-01-12,PROD-A,44
2024-01-13,PROD-A,63
2024-01-14,PROD-A,56
2024-01-15,PROD-A,49
2024-01-16,PROD-A,41
2024-01-17,PROD-A,57
2024-01-18,PROD-A,52
2024-01-19,PROD-A,68
2024-01-20,PROD-A,45
2024-01-21,PROD-A,53
2024-01-22,PROD-A,47
2024-01-23,PROD-A,59
2024-01-24,PROD-A,42
2024-01-25,PROD-A,55
2024-01-26,PROD-A,61
2024-01-27,PROD-A,48
2024-01-28,PROD-A,54
2024-01-29,PROD-A,46
2024-01-30,PROD-A,58
