date,sku,quantity_sold,quantity_on_hand
2024-01-01,PROD-A,45,200
2024-01-02,PROD-A,52,155
2024-01-03,PROD-A,38,103
2024-01-04,PROD-A,61,65
2024-01-05,PROD-A,49,104
2024-01-06,PROD-A,55,55
2024-01-07,PROD-A,72,83
2024-01-08,PROD-A,43,140
2024-01-09,PROD-A,58,97
2024-01-10,PROD-A,47,139
2024-01-11,PROD-A,51,92
2024-01-12,PROD-A,44,141
2024-01-13,PROD-A,63,98
2024-01-14,PROD-A,56,135
2024-01-15,PROD-A,49,79
2024-01-16,PROD-A,41,138
2024-01-17,PROD-A,57,97
2024-01-18,PROD-A,52,45
2024-01-19,PROD-A,68,77
2024-01-20,PROD-A,45,132
2024-01-21,PROD-A,53,87
2024-01-22,PROD-A,47,134
2024-01-23,PROD-A,59,77
2024-01-24,PROD-A,42,118
2024-01-25,PROD-A,55,76
2024-01-26,PROD-A,61,115
2024-01-27,PROD-A,48,67
2024-01-28,PROD-A,54,113
2024-01-29,PROD-A,46,59
2024-01-30,PROD-A,58,103
2024-01-01,PROD-B,23,100
2024-01-02,PROD-B,28,77
2024-01-03,PROD-B,19,49
2024-01-04,PROD-B,31,118
2024-01-05,PROD-B,25,93
2024-01-06,PROD-B,27,66
2024-01-07,PROD-B,35,131
2024-01-08,PROD-B,22,109
2024-01-09,PROD-B,29,87
2024-01-10,PROD-B,24,63
2024-01-11,PROD-B,26,137
2024-01-12,PROD-B,21,111
2024-01-13,PROD-B,33,90
2024-01-14,PROD-B,28,57
2024-01-15,PROD-B,25,129
2024-01-16,PROD-B,20,104
2024-01-17,PROD-B,30,84
2024-01-18,PROD-B,26,54
2024-01-19,PROD-B,34,120
2024-01-20,PROD-B,23,86
2024-01-21,PROD-B,27,63
2024-01-22,PROD-B,24,136
2024-01-23,PROD-B,29,112
2024-01-24,PROD-B,21,83
2024-01-25,PROD-B,28,62
2024-01-26,PROD-B,32,130
2024-01-27,PROD-B,25,98
2024-01-28,PROD-B,27,73
2024-01-29,PROD-B,23,146
2024-01-30,PROD-B,30,123
