date,sku,quantity_sold,quantity_on_hand,price,lead_time_days
2024-01-01,PROD-A,45,200,29.99,7
2024-01-02,PROD-A,52,155,29.99,7
2024-01-03,PROD-A,38,103,29.99,7
2024-01-04,PROD-A,61,65,29.99,7
2024-01-05,PROD-A,49,104,29.99,7
2024-01-06,PROD-A,55,55,29.99,7
2024-01-07,PROD-A,72,83,29.99,7
2024-01-08,PROD-A,43,140,29.99,7
2024-01-09,PROD-A,58,97,29.99,7
2024-01-10,PROD-A,47,139,29.99,7
2024-01-11,PROD-A,51,92,29.99,7
2024-01-12,PROD-A,44,141,29.99,7
2024-01-13,PROD-A,63,98,29.99,7
2024-01-14,PROD-A,56,135,29.99,7
2024-01-15,PROD-A,49,79,29.99,7
2024-01-16,PROD-A,41,138,29.99,7
2024-01-17,PROD-A,57,97,29.99,7
2024-01-18,PROD-A,52,45,29.99,7
2024-01-19,PROD-A,68,77,29.99,7
2024-01-20,PROD-A,45,132,29.99,7
2024-01-21,PROD-A,53,87,29.99,7
2024-01-22,PROD-A,47,134,29.99,7
2024-01-23,PROD-A,59,77,29.99,7
2024-01-24,PROD-A,42,118,29.99,7
2024-01-25,PROD-A,55,76,29.99,7
2024-01-26,PROD-A,61,115,29.99,7
2024-01-27,PROD-A,48,67,29.99,7
2024-01-28,PROD-A,54,113,29.99,7
2024-01-29,PROD-A,46,59,29.99,7
2024-01-30,PROD-A,58,103,29.99,7
2024-01-31,PROD-A,51,52,29.99,7
2024-02-01,PROD-A,49,101,29.99,7
2024-02-02,PROD-A,56,52,29.99,7
2024-02-03,PROD-A,43,109,29.99,7
2024-02-04,PROD-A,62,66,29.99,7
2024-02-05,PROD-A,47,104,29.99,7
2024-02-06,PROD-A,55,57,29.99,7
2024-02-07,PROD-A,50,107,29.99,7
2024-02-08,PROD-A,58,49,29.99,7
2024-02-09,PROD-A,44,91,29.99,7
2024-02-10,PROD-A,53,47,29.99,7
2024-01-01,PROD-B,23,100,49.99,10
2024-01-02,PROD-B,28,77,49.99,10
2024-01-03,PROD-B,19,49,49.99,10
2024-01-04,PROD-B,31,118,49.99,10
2024-01-05,PROD-B,25,93,49.99,10
2024-01-06,PROD-B,27,66,49.99,10
2024-01-07,PROD-B,35,131,49.99,10
2024-01-08,PROD-B,22,109,49.99,10
2024-01-09,PROD-B,29,87,49.99,10
2024-01-10,PROD-B,24,63,49.99,10
2024-01-11,PROD-B,26,137,49.99,10
2024-01-12,PROD-B,21,111,49.99,10
2024-01-13,PROD-B,33,90,49.99,10
2024-01-14,PROD-B,28,57,49.99,10
2024-01-15,PROD-B,25,129,49.99,10
2024-01-16,PROD-B,20,104,49.99,10
2024-01-17,PROD-B,30,84,49.99,10
2024-01-18,PROD-B,26,54,49.99,10
2024-01-19,PROD-B,34,120,49.99,10
2024-01-20,PROD-B,23,86,49.99,10
2024-01-21,PROD-B,27,63,49.99,10
2024-01-22,PROD-B,24,136,49.99,10
2024-01-23,PROD-B,29,112,49.99,10
2024-01-24,PROD-B,21,83,49.99,10
2024-01-25,PROD-B,28,62,49.99,10
2024-01-26,PROD-B,32,130,49.99,10
2024-01-27,PROD-B,25,98,49.99,10
2024-01-28,PROD-B,27,73,49.99,10
2024-01-29,PROD-B,23,146,49.99,10
2024-01-30,PROD-B,30,123,49.99,10
2024-01-31,PROD-B,26,93,49.99,10
2024-02-01,PROD-B,24,67,49.99,10
2024-02-02,PROD-B,29,138,49.99,10
2024-02-03,PROD-B,22,109,49.99,10
2024-02-04,PROD-B,31,87,49.99,10
2024-02-05,PROD-B,25,56,49.99,10
2024-02-06,PROD-B,28,131,49.99,10
2024-02-07,PROD-B,26,103,49.99,10
2024-02-08,PROD-B,30,77,49.99,10
2024-02-09,PROD-B,23,147,49.99,10
2024-02-10,PROD-B,27,124,49.99,10
