date,sku,quantity_sold,quantity_on_hand,price,lead_time_days,holding_cost,ordering_cost,stockout_cost,category,region,promotion
2024-01-01,PROD-A,45,200,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-01-02,PROD-A,52,155,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-01-03,PROD-A,38,103,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-01-04,PROD-A,61,65,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-01-05,PROD-A,89,104,29.99,7,0.10,50.0,10.0,Electronics,North,1
2024-01-06,PROD-A,95,55,29.99,7,0.10,50.0,10.0,Electronics,North,1
2024-01-07,PROD-A,72,83,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-01-08,PROD-A,43,140,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-01-09,PROD-A,58,97,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-01-10,PROD-A,47,139,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-01-11,PROD-A,51,92,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-01-12,PROD-A,84,141,29.99,7,0.10,50.0,10.0,Electronics,North,1
2024-01-13,PROD-A,93,98,29.99,7,0.10,50.0,10.0,Electronics,North,1
2024-01-14,PROD-A,56,135,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-01-15,PROD-A,49,79,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-01-16,PROD-A,41,138,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-01-17,PROD-A,57,97,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-01-18,PROD-A,52,45,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-01-19,PROD-A,68,77,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-01-20,PROD-A,45,132,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-01-21,PROD-A,53,87,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-01-22,PROD-A,47,134,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-01-23,PROD-A,59,77,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-01-24,PROD-A,42,118,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-01-25,PROD-A,55,76,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-01-26,PROD-A,61,115,29.99,7,0.10,50.0,10.0,Electronics,North,0
2024-01-27,PROD-A,48,67,29.99,7,0.10,50.0,10.0,Electronics,North,0
